,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,MEAN_PTS_H,MEAN_FG_PCT_H,MEAN_FT_PCT_H,MEAN_FG3_PCT_H,MEAN_AST_H,MEAN_REB_H,MEAN_TOV_H,OPP_TEAM_ABBREVIATION,OPP_TEAM_WINS,OPP_TEAM_LOSSES,OPP_PTS,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,MEAN_PTS_A,MEAN_FG_PCT_A,MEAN_FT_PCT_A,MEAN_FG3_PCT_A,MEAN_AST_A,MEAN_REB_A,MEAN_TOV_A,W/L 1/0,LAST_2_MH,LAST_3_MH,LAST_5_MH,LAST_2_MA,LAST_3_MA,LAST_5_MA
549,6940,2020-01-08,MEM,16,22,119,27,24,31,37,51.7,90.5,28.6,22,44,15,1,112.97297297297297,29.16216216216216,27.405405405405407,28.864864864864863,27.16216216216216,47.14054054054054,77.55945945945945,36.14324324324324,27.54054054054054,45.54054054054054,15.27027027027027,114.82352941176471,47.10588235294117,76.52941176470587,35.59411764705882,27.58823529411765,46.76470588235294,15.470588235294118,MIN,14,22,112,111.61111111111111,27.02777777777778,28.36111111111111,26.77777777777778,27.38888888888889,43.30833333333334,74.9888888888889,32.23888888888889,22.805555555555557,46.55555555555556,14.333333333333334,114.47368421052632,44.99473684210527,76.50526315789473,35.27368421052632,23.57894736842105,44.68421052631579,14.789473684210526,1,1.0,2.0,4.0,1.0,1.0,3.0
550,6941,2020-01-08,PHX,14,23,103,29,24,34,16,48.1,81.8,31.4,24,41,17,1,113.63888888888889,28.055555555555557,27.194444444444443,28.72222222222222,28.666666666666668,46.3,80.70277777777777,34.27499999999999,27.88888888888889,43.55555555555556,13.61111111111111,116.35,46.955,79.96499999999999,34.665000000000006,27.7,43.4,12.95,SAC,15,23,114,106.0,26.18918918918919,26.27027027027027,26.945945945945947,25.62162162162162,45.159459459459455,75.75405405405405,34.65135135135135,22.594594594594593,42.567567567567565,14.405405405405405,106.47619047619048,45.647619047619045,76.45238095238095,34.63809523809524,23.904761904761905,40.95238095238095,13.761904761904763,0,1.0,1.0,1.0,2.0,3.0,4.0
551,6942,2020-01-08,LAL,30,7,117,26,36,23,32,50.0,85.7,47.2,27,48,17,1,112.72222222222223,29.52777777777778,29.083333333333332,28.666666666666668,25.0,47.977777777777774,72.9833333333333,35.03333333333333,25.805555555555557,45.388888888888886,14.416666666666666,112.33333333333333,47.806666666666665,78.39333333333333,34.333333333333336,26.6,46.266666666666666,14.933333333333334,NYK,10,27,87,104.11428571428571,25.857142857142858,26.057142857142857,26.057142857142857,25.8,43.54571428571428,68.77428571428572,35.01428571428571,21.457142857142856,46.34285714285714,14.257142857142858,104.47368421052632,43.4421052631579,69.74736842105264,35.25263157894737,20.57894736842105,46.26315789473684,14.0,1,2.0,3.0,4.0,2.0,2.0,3.0
552,6943,2020-01-09,BOS,25,10,114,22,25,36,31,41.6,90.0,34.2,26,39,15,1,112.73529411764706,26.5,27.41176470588235,29.705882352941178,28.91176470588235,46.57941176470589,79.1470588235294,35.86176470588235,23.58823529411765,45.94117647058823,12.882352941176471,115.38888888888889,47.988888888888894,81.0388888888889,37.388888888888886,24.22222222222222,45.05555555555556,11.944444444444445,SAS,16,20,129,113.0,27.02857142857143,28.257142857142856,28.6,27.4,46.97714285714286,79.64857142857143,36.957142857142856,24.4,46.42857142857143,13.0,112.92857142857143,47.792857142857144,76.90714285714286,36.26428571428571,22.428571428571427,44.785714285714285,12.714285714285714,0,1.0,2.0,4.0,2.0,2.0,3.0
553,6944,2020-01-09,CHA,15,25,110,31,24,26,19,44.2,73.1,40.5,30,50,17,1,104.32432432432432,27.35135135135135,25.89189189189189,25.27027027027027,24.81081081081081,43.67567567567568,76.27027027027029,35.06216216216215,23.91891891891892,42.86486486486486,14.35135135135135,105.7,44.315000000000005,75.19,35.82499999999999,24.55,42.5,15.4,TOR,25,13,112,110.45945945945945,27.054054054054053,27.18918918918919,29.10810810810811,26.486486486486488,44.548648648648665,79.92432432432433,36.87837837837838,24.45945945945946,46.0,13.91891891891892,107.72222222222223,43.638888888888886,78.69444444444447,35.95000000000001,23.833333333333332,46.166666666666664,14.5,0,0.0,0.0,1.0,1.0,1.0,2.0
554,6945,2020-01-09,IND,23,15,108,23,26,23,36,47.6,76.0,33.3,25,37,12,1,110.36842105263158,27.105263157894736,28.31578947368421,27.31578947368421,26.81578947368421,47.93684210526316,78.78684210526318,37.85789473684211,26.342105263157894,42.078947368421055,12.236842105263158,112.77777777777777,47.88333333333333,78.86111111111111,36.42777777777778,26.666666666666668,44.44444444444444,12.222222222222221,MIA,27,10,122,111.52631578947368,29.05263157894737,28.526315789473685,25.763157894736842,25.5,46.42368421052632,76.91315789473686,37.41842105263159,25.13157894736842,45.68421052631579,14.710526315789474,105.94736842105263,44.67368421052632,76.25263157894739,35.49473684210526,23.42105263157895,44.1578947368421,14.578947368421053,0,1.0,2.0,4.0,2.0,2.0,3.0
555,6946,2020-01-09,ORL,18,20,123,32,37,28,26,49.4,79.4,37.0,24,51,16,1,102.8108108108108,24.89189189189189,26.783783783783782,25.675675675675677,25.45945945945946,43.3945945945946,75.14054054054051,33.41891891891891,22.64864864864865,44.54054054054054,12.27027027027027,100.6,43.56500000000001,72.38000000000002,33.25,23.0,45.95,12.9,WAS,12,25,89,114.61111111111111,28.416666666666668,30.13888888888889,27.63888888888889,27.805555555555557,46.28055555555558,77.95833333333333,35.90555555555555,25.02777777777778,42.361111111111114,13.416666666666666,115.05263157894737,45.77894736842106,79.88947368421053,34.863157894736844,26.210526315789473,41.10526315789474,12.842105263157896,1,1.0,2.0,3.0,1.0,2.0,3.0
556,6947,2020-01-09,ATL,8,30,115,29,33,23,30,36.8,88.9,29.5,20,54,11,1,107.44444444444444,26.333333333333332,27.194444444444443,27.75,25.61111111111111,44.763888888888886,76.50555555555553,32.083333333333336,23.305555555555557,42.888888888888886,16.38888888888889,105.66666666666667,44.99444444444444,74.2,31.65000000000001,22.77777777777778,43.77777777777778,16.666666666666668,HOU,25,11,122,119.11428571428571,29.542857142857144,31.37142857142857,29.742857142857144,27.942857142857143,46.03142857142857,77.50571428571429,35.145714285714284,22.142857142857142,46.714285714285715,14.628571428571428,119.66666666666667,46.46111111111111,80.28333333333335,36.83333333333333,21.944444444444443,44.22222222222222,15.38888888888889,0,1.0,1.0,1.0,2.0,2.0,2.0
557,6948,2020-01-09,DAL,23,14,106,32,27,30,17,50.6,66.7,34.3,27,38,13,1,116.42857142857143,29.228571428571428,29.314285714285713,29.8,27.228571428571428,45.79999999999999,77.39428571428569,36.82000000000001,24.17142857142857,47.42857142857143,12.314285714285715,113.88235294117646,45.57058823529412,77.9235294117647,35.65294117647059,23.41176470588235,47.0,12.941176470588236,DEN,26,11,107,108.6842105263158,26.763157894736842,26.973684210526315,27.42105263157895,26.736842105263158,45.934210526315795,77.8078947368421,33.44210526315789,25.894736842105264,44.73684210526316,12.868421052631579,108.05263157894737,45.12105263157895,79.70526315789475,34.868421052631575,25.105263157894736,44.0,13.263157894736842,0,1.0,2.0,3.0,1.0,1.0,2.0
558,6949,2020-01-09,NOP,13,25,123,23,25,44,31,47.1,81.2,34.1,31,50,14,1,113.13888888888889,28.666666666666668,27.333333333333332,28.22222222222222,28.36111111111111,45.14722222222222,74.125,36.45277777777779,24.916666666666668,45.30555555555556,14.86111111111111,114.29411764705883,45.49411764705882,71.5294117647059,36.682352941176475,25.88235294117647,45.11764705882353,13.941176470588236,CHI,13,25,108,105.26315789473684,26.63157894736842,26.394736842105264,26.289473684210527,25.42105263157895,43.61315789473685,75.89210526315792,34.9078947368421,23.105263157894736,43.10526315789474,14.18421052631579,107.5,44.383333333333326,77.44444444444444,34.87777777777778,22.833333333333332,41.44444444444444,13.333333333333334,1,1.0,2.0,2.0,2.0,2.0,3.0
559,6950,2020-01-09,UTA,25,12,128,39,33,23,33,54.4,60.9,37.2,29,50,7,1,109.5945945945946,27.054054054054053,26.2972972972973,28.783783783783782,27.45945945945946,47.4054054054054,76.5567567567568,38.759459459459464,22.054054054054053,46.13513513513514,15.0,110.70588235294117,48.45882352941177,76.2235294117647,39.28235294117647,22.11764705882353,47.11764705882353,15.470588235294118,NYK,10,28,104,103.63888888888889,25.72222222222222,26.0,26.02777777777778,25.555555555555557,43.416666666666664,68.42500000000001,34.59722222222222,21.27777777777778,46.361111111111114,14.305555555555555,103.6,43.215,69.07000000000002,34.49,20.3,46.3,14.1,1,2.0,3.0,4.0,2.0,3.0,3.0
560,6951,2020-01-09,GSW,9,30,98,19,20,33,26,37.9,85.0,39.5,29,52,18,1,106.02702702702703,25.43243243243243,27.56756756756757,26.0,25.864864864864863,43.310810810810814,80.84054054054054,33.88108108108109,24.405405405405407,43.62162162162162,14.054054054054054,107.73684210526316,43.76315789473684,82.19473684210527,36.699999999999996,25.68421052631579,43.31578947368421,14.31578947368421,MIL,33,6,107,118.94444444444444,28.944444444444443,30.38888888888889,29.25,30.22222222222222,48.62222222222223,71.91666666666666,36.42777777777778,26.416666666666668,51.416666666666664,14.13888888888889,118.0625,48.40625,74.99375,35.61875,24.4375,51.9375,14.6875,0,0.0,1.0,3.0,1.0,1.0,2.0
561,6952,2020-01-10,DET,14,25,112,32,29,22,19,49.0,62.5,30.0,20,46,15,1,108.82926829268293,28.341463414634145,27.682926829268293,26.073170731707318,26.609756097560975,46.17317073170732,74.44878048780485,37.363414634146345,24.024390243902438,42.5609756097561,14.804878048780488,112.57142857142857,48.099999999999994,74.46190476190475,39.2,25.0,42.095238095238095,14.047619047619047,CLE,11,27,115,104.72972972972973,26.10810810810811,25.27027027027027,26.135135135135137,26.83783783783784,44.924324324324324,75.5972972972973,34.1972972972973,21.945945945945947,44.54054054054054,15.08108108108108,102.6,43.28666666666667,76.05333333333333,30.12666666666667,20.4,44.86666666666667,15.066666666666666,0,1.0,1.0,1.0,1.0,2.0,4.0
562,6953,2020-01-10,PHI,25,14,109,26,22,29,32,48.9,70.6,40.7,24,48,12,1,109.24324324324324,29.2972972972973,26.783783783783782,27.135135135135137,25.81081081081081,46.37567567567568,74.57837837837837,35.800000000000004,26.54054054054054,46.054054054054056,14.18918918918919,111.94444444444444,48.03333333333334,75.78333333333335,37.522222222222226,27.27777777777778,47.5,13.944444444444445,BOS,25,11,98,112.77142857142857,26.37142857142857,27.34285714285714,29.885714285714286,28.97142857142857,46.43714285714286,79.45714285714286,35.81428571428572,23.65714285714286,45.74285714285714,12.942857142857143,109.75,44.99375,77.01875000000001,34.143750000000004,22.875,46.9375,13.9375,1,2.0,3.0,3.0,1.0,1.0,1.0
563,6954,2020-01-10,MIN,15,22,116,28,31,41,16,49.4,71.4,40.6,25,56,14,1,111.62162162162163,27.16216216216216,28.243243243243242,26.81081081081081,27.405405405405407,43.337837837837846,75.15135135135137,32.229729729729726,22.81081081081081,46.37837837837838,14.432432432432432,108.41176470588235,41.423529411764704,73.29411764705883,28.847058823529416,21.941176470588236,48.64705882352941,13.823529411764707,POR,16,23,102,112.86486486486487,27.675675675675677,28.027027027027028,28.675675675675677,27.594594594594593,45.66486486486486,82.10000000000001,35.08648648648648,19.405405405405407,46.189189189189186,12.594594594594595,109.55555555555556,45.65555555555556,79.17222222222223,32.605555555555554,19.38888888888889,44.55555555555556,12.055555555555555,1,2.0,2.0,2.0,1.0,1.0,3.0
564,6955,2020-01-10,OKC,22,16,113,37,23,29,24,49.4,80.0,34.4,22,52,13,1,110.1891891891892,26.18918918918919,27.972972972972972,28.0,27.027027027027028,47.25135135135135,78.85405405405406,36.04594594594594,21.405405405405407,43.2972972972973,13.18918918918919,113.94444444444444,49.15,79.3,37.527777777777786,23.333333333333332,42.44444444444444,14.11111111111111,HOU,25,12,92,119.19444444444444,29.97222222222222,31.38888888888889,29.52777777777778,27.805555555555557,45.93055555555556,77.45277777777778,34.97222222222222,22.13888888888889,47.05555555555556,14.583333333333334,119.78947368421052,46.24736842105263,80.03684210526316,36.41578947368421,21.94736842105263,45.0,15.263157894736842,1,1.0,2.0,4.0,1.0,2.0,2.0
565,6956,2020-01-11,WAS,13,25,111,30,26,25,30,37.5,60.7,34.5,26,57,9,1,113.91891891891892,28.27027027027027,30.10810810810811,27.43243243243243,27.513513513513512,46.189189189189214,77.41621621621621,35.640540540540535,25.0,42.2972972972973,13.675675675675675,114.11764705882354,46.84117647058823,75.80000000000001,37.07058823529411,23.705882352941178,43.76470588235294,14.058823529411764,ATL,8,31,101,107.64864864864865,26.405405405405407,27.35135135135135,27.62162162162162,25.72972972972973,44.548648648648644,76.84054054054053,32.013513513513516,23.216216216216218,43.189189189189186,16.243243243243242,109.22222222222223,44.53333333333333,78.81111111111112,32.516666666666666,23.833333333333332,42.0,16.11111111111111,1,2.0,2.0,3.0,1.0,2.0,4.0
566,6957,2020-01-11,BKN,17,20,117,32,25,32,28,48.4,63.2,34.1,31,51,9,1,111.2,27.82857142857143,28.742857142857144,27.6,25.085714285714285,44.34857142857144,74.84,34.57714285714285,23.771428571428572,48.68571428571428,15.714285714285714,111.41176470588235,45.35294117647059,71.01764705882354,37.05882352941177,23.352941176470587,49.0,17.529411764705884,MIA,27,11,113,111.7948717948718,29.102564102564102,28.58974358974359,26.076923076923077,25.41025641025641,46.59487179487179,76.9923076923077,37.53846153846155,25.205128205128204,45.56410256410256,14.615384615384615,106.75,45.095000000000006,76.44000000000003,35.825,23.65,44.0,14.4,1,0.0,0.0,2.0,1.0,2.0,3.0
567,6958,2020-01-11,NYK,10,29,111,31,30,25,25,46.0,70.0,18.5,26,46,13,1,103.64864864864865,25.81081081081081,25.945945945945947,25.756756756756758,25.81081081081081,43.413513513513514,69.27837837837838,34.63513513513514,21.18918918918919,46.21621621621622,14.162162162162161,103.6875,43.66875,67.61875,34.731249999999996,22.5,46.4375,14.5625,NOP,14,25,123,113.4054054054054,28.513513513513512,27.27027027027027,28.64864864864865,28.43243243243243,45.199999999999996,74.3162162162162,36.389189189189196,25.08108108108108,45.432432432432435,14.837837837837839,112.10526315789474,44.836842105263166,76.44736842105263,36.24736842105263,24.05263157894737,45.473684210526315,15.68421052631579,0,1.0,1.0,2.0,1.0,1.0,2.0
568,6959,2020-01-11,CHI,13,26,105,27,19,26,33,46.2,81.2,43.9,16,36,15,1,105.33333333333333,26.487179487179485,26.41025641025641,26.307692307692307,25.615384615384617,43.63846153846155,75.41025641025642,35.03846153846154,23.076923076923077,43.0,14.128205128205128,103.25,42.91999999999999,74.495,34.93500000000001,23.35,44.6,14.95,IND,24,15,116,110.3076923076923,27.0,28.256410256410255,27.205128205128204,27.05128205128205,47.92820512820513,78.71538461538464,37.74102564102565,26.307692307692307,41.94871794871795,12.23076923076923,108.2,47.98499999999999,78.72,39.144999999999996,26.05,39.95,12.25,0,0.0,0.0,2.0,1.0,2.0,4.0
569,6960,2020-01-11,MEM,17,22,134,37,26,37,34,52.0,87.5,42.1,39,49,8,1,113.13157894736842,29.105263157894736,27.31578947368421,28.92105263157895,27.42105263157895,47.26052631578948,77.89999999999998,35.94473684210526,27.394736842105264,45.5,15.263157894736842,115.05555555555556,47.361111111111114,77.30555555555554,35.205555555555556,27.27777777777778,46.611111111111114,15.444444444444445,SAS,16,21,121,113.44444444444444,27.22222222222222,28.333333333333332,28.75,27.47222222222222,47.205555555555556,80.00000000000001,36.791666666666664,24.5,46.5,13.027777777777779,114.0,48.28666666666667,77.93333333333334,35.91333333333333,22.8,45.06666666666667,12.8,1,2.0,2.0,4.0,1.0,2.0,3.0
570,6961,2020-01-11,DAL,23,15,114,27,31,28,28,40.6,67.6,28.9,19,47,9,1,116.13888888888889,29.305555555555557,29.25,29.805555555555557,26.944444444444443,45.93333333333332,77.09722222222219,36.75000000000001,24.25,47.166666666666664,12.333333333333334,113.44444444444444,45.85,77.30000000000001,35.577777777777776,23.61111111111111,46.5,12.944444444444445,LAL,31,7,129,112.83783783783784,29.43243243243243,29.27027027027027,28.513513513513512,25.18918918918919,48.03243243243243,73.327027027027,35.36216216216216,25.83783783783784,45.45945945945946,14.486486486486486,113.0,48.1,69.1190476190476,35.53333333333333,25.238095238095237,44.76190476190476,14.047619047619047,0,1.0,1.0,3.0,1.0,2.0,2.0
571,6962,2020-01-11,PHX,15,23,98,27,31,19,21,41.8,88.5,32.1,19,44,14,1,113.35135135135135,28.08108108108108,27.10810810810811,28.864864864864863,28.324324324324323,46.34864864864865,80.73243243243243,34.19729729729729,27.783783783783782,43.486486486486484,13.702702702702704,115.71428571428571,47.00952380952381,80.05238095238094,34.50952380952381,27.523809523809526,43.285714285714285,13.142857142857142,ORL,18,21,94,103.34210526315789,25.07894736842105,27.05263157894737,25.736842105263158,25.473684210526315,43.55263157894738,75.25263157894734,33.513157894736835,22.68421052631579,44.71052631578947,12.368421052631579,105.41176470588235,43.194117647058825,78.38823529411764,33.61764705882353,22.235294117647058,42.88235294117647,11.529411764705882,1,0.0,1.0,1.0,1.0,2.0,4.0
572,6963,2020-01-11,UTA,26,12,109,29,32,26,22,46.7,73.7,30.8,20,37,20,1,110.07894736842105,27.36842105263158,26.473684210526315,28.63157894736842,27.605263157894736,47.58947368421053,76.1447368421053,38.718421052631584,22.236842105263158,46.23684210526316,14.789473684210526,111.66666666666667,48.78888888888889,75.37222222222222,39.166666666666664,22.5,47.27777777777778,15.0,CHA,15,26,92,104.47368421052632,27.44736842105263,25.842105263157894,25.289473684210527,24.657894736842106,43.689473684210526,76.18684210526317,35.20526315789473,24.07894736842105,43.05263157894737,14.421052631578947,102.70588235294117,42.92352941176471,77.54117647058823,34.16470588235294,23.176470588235293,43.294117647058826,13.117647058823529,1,2.0,3.0,5.0,0.0,1.0,3.0
573,6964,2020-01-11,SAC,15,24,106,18,26,31,31,45.8,80.0,28.6,26,45,16,1,106.21052631578948,26.18421052631579,26.289473684210527,26.894736842105264,25.894736842105264,45.12894736842105,76.11052631578949,34.83684210526316,22.473684210526315,42.526315789473685,14.421052631578947,105.375,44.518750000000004,74.83749999999999,34.66875,20.875,44.6875,15.25,MIL,34,6,127,118.62162162162163,28.675675675675677,30.324324324324323,29.37837837837838,30.10810810810811,48.3945945945946,72.33783783783782,36.037837837837834,26.2972972972973,51.2972972972973,14.0,117.41176470588235,47.92352941176471,75.72941176470589,34.817647058823525,24.294117647058822,51.64705882352941,14.352941176470589,0,1.0,2.0,2.0,1.0,1.0,2.0
574,6965,2020-01-11,LAC,27,12,109,22,26,25,36,48.8,72.7,28.2,27,54,19,1,114.73684210526316,27.86842105263158,30.842105263157894,28.526315789473685,27.236842105263158,45.73684210526316,78.37894736842104,35.54736842105263,23.05263157894737,48.18421052631579,14.578947368421053,117.16666666666667,46.48333333333333,77.37777777777778,35.47222222222222,22.944444444444443,49.666666666666664,15.055555555555555,GSW,9,31,100,105.8157894736842,25.263157894736842,27.36842105263158,26.18421052631579,25.86842105263158,43.16842105263158,80.95,34.028947368421065,24.526315789473685,43.8421052631579,14.157894736842104,104.22222222222223,42.83333333333333,79.41111111111111,30.905555555555566,23.055555555555557,43.94444444444444,13.777777777777779,1,1.0,2.0,2.0,2.0,3.0,5.0
575,6966,2020-01-11,HOU,26,12,139,22,35,45,37,51.6,79.3,40.0,29,58,18,1,118.45945945945945,29.72972972972973,31.27027027027027,29.243243243243242,27.72972972972973,45.72162162162162,77.87027027027028,34.770270270270274,21.972972972972972,46.83783783783784,14.567567567567568,118.52941176470588,45.57647058823529,74.56470588235294,33.358823529411765,22.352941176470587,49.35294117647059,13.823529411764707,MIN,15,23,109,111.73684210526316,27.18421052631579,28.31578947368421,27.18421052631579,27.105263157894736,43.49736842105264,75.05263157894738,32.449999999999996,22.86842105263158,46.63157894736842,14.421052631578947,114.35,44.965,76.72999999999999,35.105000000000004,23.55,44.45,14.95,1,2.0,3.0,4.0,1.0,2.0,3.0
576,6967,2020-01-12,BOS,26,11,140,41,31,42,26,55.0,88.9,48.3,29,53,10,1,112.36111111111111,26.61111111111111,27.13888888888889,29.75,28.666666666666668,46.34722222222223,80.02777777777777,35.900000000000006,23.47222222222222,45.52777777777778,12.972222222222221,115.3157894736842,47.65263157894737,81.51052631578949,37.22105263157894,24.31578947368421,44.73684210526316,12.105263157894736,NOP,14,26,105,113.65789473684211,28.63157894736842,27.44736842105263,28.63157894736842,28.42105263157895,45.478947368421046,73.75263157894737,36.67894736842106,25.342105263157894,45.36842105263158,14.947368421052632,112.65,45.385000000000005,75.27000000000001,36.80499999999999,24.6,45.35,15.85,1,1.0,1.0,3.0,0.0,1.0,1.0
577,6968,2020-01-12,DET,14,26,99,20,29,22,28,46.2,66.7,32.1,22,42,19,1,108.9047619047619,28.428571428571427,27.714285714285715,25.976190476190474,26.428571428571427,46.240476190476194,74.16428571428568,37.188095238095244,23.928571428571427,42.642857142857146,14.80952380952381,112.54545454545455,48.14090909090908,73.91818181818181,38.78181818181818,24.772727272727273,42.27272727272727,14.090909090909092,CHI,14,26,108,105.325,26.5,26.225,26.3,25.8,43.70250000000001,75.555,35.260000000000005,22.9,42.825,14.15,107.52631578947368,44.39473684210526,76.3736842105263,35.14736842105263,22.789473684210527,41.31578947368421,13.263157894736842,0,1.0,1.0,1.0,2.0,3.0,3.0
578,6969,2020-01-12,OKC,22,17,110,19,30,33,28,46.7,88.2,29.0,23,37,7,1,110.26315789473684,26.473684210526315,27.842105263157894,28.026315789473685,26.94736842105263,47.30789473684211,78.8842105263158,36.002631578947366,21.42105263157895,43.526315789473685,13.18421052631579,113.89473684210526,49.163157894736834,79.33684210526314,37.363157894736844,23.263157894736842,42.94736842105263,14.052631578947368,LAL,32,7,125,113.26315789473684,29.842105263157894,29.394736842105264,28.289473684210527,25.31578947368421,48.1578947368421,73.45263157894733,35.52894736842105,25.63157894736842,45.55263157894737,14.289473684210526,113.72727272727273,48.31363636363637,69.52727272727272,35.81363636363636,24.90909090909091,44.95454545454545,13.727272727272727,0,2.0,2.0,4.0,0.0,1.0,2.0
579,6970,2020-01-12,DAL,24,15,109,20,21,32,36,50.6,66.7,40.7,22,54,15,1,116.08108108108108,29.243243243243242,29.2972972972973,29.756756756756758,26.972972972972972,45.78918918918918,76.8405405405405,36.53783783783785,24.10810810810811,47.16216216216216,12.243243243243244,113.47368421052632,45.573684210526324,76.78947368421052,35.22631578947368,23.36842105263158,46.526315789473685,12.736842105263158,PHI,25,15,91,109.23684210526316,29.210526315789473,26.657894736842106,27.18421052631579,25.973684210526315,46.4421052631579,74.47368421052632,35.928947368421056,26.473684210526315,46.10526315789474,14.131578947368421,106.6842105263158,44.80526315789475,73.43684210526317,34.16842105263158,25.842105263157894,44.68421052631579,14.421052631578947,1,0.0,1.0,2.0,2.0,3.0,4.0
580,6971,2020-01-12,DEN,26,12,103,18,24,29,32,43.2,72.2,20.5,23,42,5,1,108.64102564102564,26.76923076923077,27.025641025641026,27.487179487179485,26.58974358974359,45.9923076923077,77.86410256410257,33.54615384615384,25.923076923076923,44.56410256410256,12.846153846153847,109.3157894736842,46.747368421052634,75.91052631578947,32.01578947368421,26.68421052631579,45.473684210526315,12.473684210526315,CLE,12,27,111,105.0,26.105263157894736,25.236842105263158,26.263157894736842,26.68421052631579,45.12894736842105,75.45,33.955263157894734,22.0,44.39473684210526,15.052631578947368,103.375,43.87500000000001,75.675,29.806250000000002,20.625,44.5,15.0,0,2.0,2.0,4.0,1.0,1.0,3.0
581,6972,2020-01-12,POR,16,24,101,24,31,25,21,38.9,81.0,27.8,17,48,13,1,112.57894736842105,27.842105263157894,27.63157894736842,28.63157894736842,27.605263157894736,45.42368421052631,81.72105263157896,34.94473684210526,19.263157894736842,46.05263157894737,12.526315789473685,116.0,45.67368421052632,84.8736842105263,37.43684210526316,19.42105263157895,47.73684210526316,13.105263157894736,MIL,35,6,122,118.84210526315789,28.81578947368421,30.026315789473685,29.57894736842105,30.289473684210527,48.42368421052632,72.45263157894735,35.763157894736835,26.36842105263158,51.31578947368421,13.921052631578947,117.94444444444444,48.01111111111111,75.78333333333335,34.30555555555556,24.555555555555557,51.666666666666664,14.166666666666666,0,0.0,0.0,2.0,0.0,1.0,1.0
582,6973,2020-01-12,NYK,11,29,124,27,28,29,40,51.1,82.1,29.0,24,39,6,1,103.84210526315789,25.94736842105263,26.05263157894737,25.736842105263158,25.789473684210527,43.48157894736842,69.29736842105264,34.21052631578947,21.31578947368421,46.21052631578947,14.131578947368421,104.11764705882354,43.80588235294118,67.75882352941177,33.77647058823529,22.705882352941178,46.411764705882355,14.470588235294118,MIA,27,12,121,111.825,29.425,28.55,25.925,25.375,46.725,77.21000000000001,37.2025,25.225,45.425,14.425,107.04761904761905,45.41428571428572,76.88095238095241,35.266666666666666,23.761904761904763,43.80952380952381,14.047619047619047,1,1.0,1.0,2.0,1.0,2.0,3.0
583,6974,2020-01-12,WAS,13,26,116,34,32,25,25,50.5,88.2,31.8,28,37,9,1,113.84210526315789,28.31578947368421,30.0,27.36842105263158,27.57894736842105,45.9605263157895,76.97631578947369,35.61052631578947,25.026315789473685,42.68421052631579,13.552631578947368,113.94444444444444,46.32222222222222,74.96111111111112,36.92777777777777,23.833333333333332,44.5,13.777777777777779,UTA,27,12,127,110.05128205128206,27.41025641025641,26.615384615384617,28.564102564102566,27.46153846153846,47.56666666666667,76.08205128205131,38.51538461538462,22.17948717948718,46.0,14.923076923076923,108.65,46.510000000000005,76.83999999999999,38.315,22.0,45.3,14.6,0,2.0,3.0,3.0,0.0,0.0,1.0
584,6975,2020-01-12,BKN,18,20,108,37,33,22,16,53.2,55.2,38.5,25,62,24,1,111.36111111111111,27.944444444444443,28.63888888888889,27.72222222222222,25.166666666666668,44.46111111111112,74.51666666666667,34.56388888888888,23.97222222222222,48.75,15.527777777777779,111.72222222222223,45.52222222222222,70.58333333333334,36.89444444444445,23.77777777777778,49.111111111111114,17.055555555555557,ATL,8,32,86,107.47368421052632,26.263157894736842,27.42105263157895,27.63157894736842,25.63157894736842,44.589473684210525,76.13421052631577,31.805263157894736,23.105263157894736,43.526315789473685,16.289473684210527,108.78947368421052,44.61578947368421,77.29473684210527,32.07368421052632,23.57894736842105,42.73684210526316,16.210526315789473,1,1.0,1.0,2.0,2.0,2.0,4.0
585,6976,2020-01-12,TOR,25,14,104,28,23,31,22,40.6,81.8,35.4,30,45,11,1,110.5,27.105263157894736,27.289473684210527,28.92105263157895,26.263157894736842,44.552631578947384,79.66315789473686,36.93157894736842,24.710526315789473,46.0,13.81578947368421,113.05263157894737,45.41052631578947,81.08947368421053,37.75789473684211,25.05263157894737,45.8421052631579,13.368421052631579,SAS,17,21,105,113.64864864864865,27.35135135135135,28.243243243243242,29.08108108108108,27.35135135135135,47.23513513513514,80.18918918918921,36.945945945945944,24.62162162162162,46.24324324324324,12.972972972972974,114.4375,48.2875,78.5,36.324999999999996,23.1875,44.5625,12.6875,0,1.0,1.0,2.0,1.0,2.0,3.0
