,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
148,6464,2019-11-02,UTA,4,2,101,18,30,32,21,47.9,74.1,39.3,18,36,17,0
149,6465,2019-11-02,GSW,1,4,110,28,27,31,24,46.4,90.5,46.4,25,39,11,1
150,6465,2019-11-02,SAS,4,1,127,29,28,40,30,47.3,86.7,37.1,23,52,11,0
151,6466,2019-11-02,OKC,2,4,115,33,32,29,21,45.6,78.3,40.5,20,44,12,1
152,6466,2019-11-02,NOP,1,5,104,26,34,26,18,42.6,59.1,34.4,25,56,16,0
153,6467,2019-11-02,DET,3,4,113,33,13,32,35,45.1,79.3,29.6,21,41,8,1
154,6467,2019-11-02,BKN,2,4,109,26,28,18,37,46.2,76.5,31.2,24,48,14,0
155,6468,2019-11-02,ORL,2,4,87,26,19,18,24,43.0,63.6,20.7,22,47,15,1
156,6468,2019-11-02,DEN,4,2,91,17,23,29,22,37.0,71.8,32.1,15,41,13,0
157,6469,2019-11-03,WAS,1,4,109,34,22,16,37,38.9,85.2,34.3,21,39,17,1
158,6469,2019-11-03,MIN,4,1,131,42,28,36,25,54.3,70.6,43.6,33,47,21,0
159,6470,2019-11-03,MEM,1,4,105,24,23,22,36,48.8,63.2,32.1,26,46,20,1
160,6470,2019-11-03,PHX,4,2,114,31,14,37,32,50.0,75.0,41.2,26,32,17,0
161,6471,2019-11-03,MIL,4,2,115,36,30,29,20,46.1,80.0,34.2,30,51,11,1
162,6471,2019-11-03,TOR,4,2,105,17,33,40,15,40.5,88.0,41.7,24,42,13,0
163,6472,2019-11-03,GSW,1,5,87,30,25,16,16,44.2,76.9,32.1,23,40,18,1
164,6472,2019-11-03,CHA,3,3,93,25,25,18,25,42.4,69.6,17.2,18,48,12,0
165,6473,2019-11-03,POR,3,3,128,32,36,34,26,57.7,76.0,55.9,21,36,18,1
166,6473,2019-11-03,PHI,5,0,129,27,30,35,37,50.5,83.3,33.3,36,46,11,0
167,6474,2019-11-03,IND,3,3,108,24,31,31,22,47.1,74.1,30.8,28,49,16,1
168,6474,2019-11-03,CHI,2,5,95,18,24,32,21,42.9,56.0,31.0,27,42,18,0
169,6475,2019-11-03,MIA,5,1,129,46,25,28,30,52.8,77.3,43.9,38,46,15,1
170,6475,2019-11-03,HOU,3,3,100,14,32,25,29,39.2,77.4,29.2,19,38,22,0
171,6476,2019-11-03,NYK,1,6,92,23,18,23,28,40.0,64.5,25.8,18,38,13,1
172,6476,2019-11-03,SAC,2,5,113,32,29,29,23,48.2,64.0,38.5,25,50,14,0
173,6477,2019-11-04,SAS,4,2,96,25,18,29,24,39.8,82.8,24.0,23,47,17,1
174,6477,2019-11-04,LAL,5,1,103,26,30,21,26,48.3,68.4,25.0,21,46,18,0
175,6478,2019-11-04,CLE,2,4,111,28,25,33,25,40.6,68.2,37.5,24,41,9,1
176,6478,2019-11-04,DAL,4,2,131,31,27,32,41,53.2,84.6,48.8,34,51,13,0
177,6479,2019-11-04,LAC,5,2,105,16,23,26,40,39.1,76.5,21.9,15,54,9,1
178,6479,2019-11-04,UTA,4,3,94,20,21,28,25,39.7,71.0,32.3,16,37,14,0
179,6480,2019-11-05,WAS,2,4,115,31,32,30,22,46.2,84.0,27.6,27,41,11,1
180,6480,2019-11-05,DET,3,5,99,30,31,17,21,41.5,78.3,48.1,21,42,19,0
181,6481,2019-11-05,BKN,3,4,135,33,34,37,31,53.3,75.0,39.0,32,45,23,1
182,6481,2019-11-05,NOP,1,6,125,27,23,48,27,49.5,76.2,40.6,18,39,21,0
